HEADER "0-ALL!P" not followed by a proline
HEADER "1-ALLP"      followed by a proline
HEADER "2-GLY!P"
HEADER "3-GLYP"
HEADER "3-GLYP"
HEADER "4-PRO!P"
HEADER "5-PROP"
HEADER "6-VI!P"
HEADER "7-VIP"
HEADER "8-DN!P"
HEADER "9-DNP"
HEADER "10-ST!P"
HEADER "11-STP"
HEADER "12-EQ!P"
HEADER "13-EQP"
HEADER "14-LA!P"
HEADER "15-LAP"
2 4 9  -0.127  -0.463   0.173  -0.631
2 4 10   0.078   0.023   0.263  -0.078
2 4 11  -0.301  -0.101   0.305  -0.541
2 4 12   0.289   0.028   0.243  -0.147
2 4 13   0.109  -0.157   0.365  -0.698
2 4 14   0.314   0.001   0.355  -0.108
2 4 15   0.090  -0.107   0.392  -0.633
3 0 0  -0.426   0.000   0.094   0.000
3 0 1  -0.383   0.000  -0.032   0.000
3 0 2  -0.576   0.000  -0.068   0.000
3 0 3  -0.500   0.000   0.016   0.000
3 0 4  -0.954   0.000   0.545   0.000
3 0 5  -0.797   0.000   0.081   0.000
3 0 6   0.105   0.000   0.373   0.000
3 0 7   0.092   0.000   0.007   0.000
3 0 8  -0.719   0.000   0.289   0.000
3 0 9  -0.430   0.000  -0.134   0.000
3 0 10  -0.381   0.000   0.184   0.000
3 0 11  -0.165   0.000  -0.017   0.000
3 0 12  -0.422   0.000   0.296   0.000
3 0 13  -0.344   0.000   0.032   0.000
3 0 14  -0.375   0.000   0.294   0.000
3 0 15  -0.335   0.000   0.003   0.000
3 1 0  -0.224   0.042   0.090   0.047
3 1 1   0.157   0.187   0.017   0.002
3 1 2  -0.249   0.287  -0.192  -0.028
3 1 3   0.262   0.100  -0.068  -0.297
3 1 4  -0.123  -0.116   0.035   0.510
3 1 5   0.259  -0.144  -0.289   0.187
3 1 6  -0.231   0.169   0.342  -0.011
3 1 7  -0.186   0.484  -0.183   0.055
3 1 8  -0.458  -0.161   0.287   0.086
3 1 9  -0.038   0.011  -0.041   0.004
3 1 10  -0.170  -0.007   0.267  -0.024
3 1 11   0.204   0.290   0.053   0.128
3 1 12  -0.356  -0.020   0.334  -0.021
3 1 13   0.103   0.164  -0.064   0.021
3 1 14  -0.315   0.016   0.355   0.026
3 1 15   0.116   0.107  -0.013   0.038
3 2 0  -0.225   0.060  -0.188   0.099
3 2 1  -0.239   0.438   0.131  -0.034
3 2 2  -0.376  -0.031  -0.173   0.267
3 2 3  -0.320   0.243   0.072   0.213
3 2 4  -0.283   0.639   0.315   0.333
3 2 5  -0.096   0.879   0.108  -0.082
3 2 6   0.025   0.193  -0.012  -0.203
3 2 7  -0.100   0.396   0.254  -0.154
3 2 8  -0.294  -0.071  -0.056   0.113
3 2 9  -0.062   0.570   0.288  -0.103
3 2 10  -0.205   0.182   0.062  -0.033
3 2 11  -0.338   0.638   0.287  -0.198
3 2 12  -0.257   0.098   0.007   0.053
3 2 13  -0.145   0.454   0.029  -0.134
3 2 14  -0.287   0.239  -0.007   0.025
3 2 15  -0.246   0.558   0.202  -0.075
3 3 0   0.361   0.081  -0.115  -0.072
3 3 1   0.295   0.200   0.127   0.057
3 3 2   0.405   0.081   0.076  -0.085
